hsi_return,trade_date
0.00570466315551843,2022-11-23
0.007823061279012,2022-11-24
-0.004944272974120367,2022-11-25
-0.015684944318380967,2022-11-28
0.05241897376460014,2022-11-29
0.021563179797090326,2022-11-30
0.007485468581406307,2022-12-01
-0.0032604830764583204,2022-12-02
0.045136475126647424,2022-12-05
-0.003950621632515361,2022-12-06
-0.03221817734665178,2022-12-07
0.033771789775098426,2022-12-08
0.023168808852883638,2022-12-09
-0.021970813342892415,2022-12-12
0.006811080642291634,2022-12-13
0.003942090970685985,2022-12-14
-0.015495979968243256,2022-12-15
0.004237793189238559,2022-12-16
-0.0050311570446189835,2022-12-19
-0.013331901586080552,2022-12-20
0.0034401748348955596,2022-12-21
0.02707292258208338,2022-12-22
-0.004378230091007573,2022-12-23
0.015610098720578947,2022-12-28
-0.00792855136342463,2022-12-29
0.002039878648096183,2022-12-30
0.018394993247487612,2023-01-03
0.03215740963012048,2023-01-04
0.01245896138970326,2023-01-05
-0.002875204651094143,2023-01-06
0.018897961614184222,2023-01-09
-0.002659341803315396,2023-01-10
0.00490307926196154,2023-01-11
0.003641007801365559,2023-01-12
0.010437831512927653,2023-01-13
0.00037079317754917795,2023-01-16
-0.0077749689451201975,2023-01-17
0.0046510819576688345,2023-01-18
-0.001246403323646117,2023-01-19
0.018182544778662768,2023-01-20
0.0236850617722677,2023-01-26
0.005411542876519793,2023-01-27
-0.02728955177267378,2023-01-30
-0.010303723053935454,2023-01-31
0.010523126816272876,2023-02-01
-0.005156731872949516,2023-02-02
-0.01356607143492472,2023-02-03
-0.02023550424561016,2023-02-06
0.0036065632309092432,2023-02-07
-0.0007127049095391191,2023-02-08
0.01601426132785755,2023-02-09
-0.020067158781437944,2023-02-10
-0.0012269695501956335,2023-02-13
-0.00239364728336533,2023-02-14
-0.014284042591079071,2023-02-15
0.008432566169639832,2023-02-16
-0.012762701910078,2023-02-17
0.008067177556804861,2023-02-20
-0.017114538787842748,2023-02-21
-0.00514627442858262,2023-02-22
-0.0035492950850367633,2023-02-23
-0.01677090480121146,2023-02-24
-0.0033247959520319448,2023-02-27
